Review,Liked
The food was amazing,1
Service was very slow,0
I loved the ambience,1
Worst experience ever,0
Delicious food and friendly staff,1
Not worth the price,0
Absolutely fantastic taste,1
Terrible service,0
Very clean and tasty food,1
Bad quality food,0
Great place and excellent service,1
Food was cold and tasteless,0
Amazing desserts and quick service,1
Staff was rude,0
Highly recommend this restaurant,1
Will never visit again,0
Loved the presentation and taste,1
Overpriced and disappointing,0
Best dining experience,1
Horrible food and bad smell,0
